Stock_Ticker,Decision_Date,Last_Filing_Days,Category
ITGR,"February 9, 2017",3,A1
FB,"May 17, 2016",1|13|435,A1
FDX,"May 9, 2017",4,A1
ODP,"June 30, 2015",110,A1
ADSK,"April 12, 2016",4,A1
EA,"December 7, 2016",33,A1
AAPL,"May 17, 2016",1|265,A1
MMM,"January 13, 2016",125,A1
DD,"August 19, 2016",72,A1
AAPL,"August 1, 2016",55|271,A1
INTC,"January 14, 2014",4,A1
ALG,"May 26, 2016",217|231,A1
HPQ,"July 9, 2015",141,A1
LLY,"July 8, 2015",75,A1
UEIC,"October 17, 2016",370|13|264,A1
CSCO,"August 8, 2014",4,A1
EVBG,"August 30, 2013",51,A1
XLNX,"October 9, 2015",2,A1
ATHX,"May 7, 2015",37,A1
SUPN,"December 12, 2016",4,A1
HPQ,"September 14, 2015",33,A1
NATI,"August 11, 2014",6,A1
AMZN,"November 26, 2014",20,A1
MMM,"February 10, 2016",217,A1
TWTR,"May 17, 2016",1|13|418,A1
MSFT,"November 6, 2014",29,A1
YHOO,"July 22, 2013",14,A1
YHOO,"May 17, 2016",1|435,A1
XRX,"February 13, 2017",195,A1
F,"April 21, 2017",25|305,A1
TXN,"April 25, 2016",45,A1
PRSS,"November 10, 2016",6,A1
RTEC,"February 3, 2016",2,A1
NVS,"May 21, 2015",45|192,A1
GE,"December 17, 2015",7,A1
YHOO,"February 26, 2014",50,A1
PFE,"July 1, 2014",117,A1
AMZN,"November 9, 2015",5,A1
SYMC,"November 13, 2013",7,A1
CSCO,"May 31, 2016",210,A1
ILMN,"July 26, 2016",83,A1
NK,"May 3, 2017",83,A1
CNXN,"June 30, 2015",110,A1
SBH,"April 25, 2016",334|21,A1
JAKK,"June 11, 2014",6,A1
CBS,"September 30, 2016",179,A1
XLNX,"April 12, 2017",5,A1
PHG,"May 10, 2013",46,A1
MMM,"July 8, 2015",75,A1
MSI,"March 6, 2015",2,A1
TXN,"January 14, 2014",4,A1
AVX,"February 9, 2017",3,A1
ORCL,"June 6, 2017",91|260|385,A1
AAPL,"November 5, 2015",2,A1
AAPL,"May 26, 2016",175,A1
HPQ,"December 28, 2016",23,A1
GE,"July 8, 2015",75,A1
F,"March 27, 2017",14,A1
DEPO,"February 21, 2017",75,A1
ADBE,"April 8, 2016",288|2|284,A1
BAC,"January 27, 2014",54,A1
AAPL,"October 7, 2016",133|224,A1
BDC,"April 17, 2015",42,A1
TXN,"January 8, 2015",10,A1
AAPL,"December 9, 2016",32|310|368|462,A1
BDSI,"August 10, 2016",7,A1
MSFT,"July 11, 2016",3,A1
MSFT,"February 17, 2016",42,A1
NVDA,"April 25, 2016",21,A1
HPE,"March 14, 2017",4,A1
MMM,"July 9, 2015",141,A1
ADBE,"March 14, 2016",5,A1
CBS,"February 1, 2016",27,A1
ATHN,"April 12, 2017",5,A1
AET,"January 18, 2017",5,A1
XLNX,"February 1, 2016",27,A1
AMZN,"December 17, 2015",6,A1
EBAY,"March 19, 2013",13,A1
SNPS,"October 11, 2016",8,A1
OSTK,"May 10, 2013",46,A1
DD,"May 9, 2014",79,A1
HPQ,"April 25, 2016",21,A1
TGT,"February 10, 2016",8,A1
LLY,"July 1, 2014",117,A1
JBLU,"June 24, 2014",14,A1
NOK,"November 26, 2014",20,A1
TRIP,"May 17, 2016",1|435,A1
HPQ,"May 10, 2013",46,A1
TDA,"May 6, 2015",93,A1
HPQ,"November 14, 2014",36,A1
SPPI,"October 2, 2015",57,A1
CDW,"June 30, 2015",110,A1
AAPL,"August 16, 2016",14,A1
AVID,"March 1, 2016",145,A1
V,"February 9, 2016",6,A1
FB,"July 16, 2014",7,A1
NUVA,"May 10, 2017",253|2,A1
CSCO,"April 7, 2017",2,A1
ZNGA,"March 17, 2015",14,A1
TWTR,"May 10, 2013",46,A1
BMY,"January 13, 2016",125,A1
GILD,"December 8, 2014",3,A1
AMZN,"February 10, 2017",2,A1
BBY,"January 15, 2014",6,A1
ACTG,"December 3, 2013",18,A1
AAPL,"December 11, 2014",6,A1
BMY,"June 12, 2014",189,A1
MSFT,"April 7, 2017",2,A1
HPQ,"April 5, 2016",68,A1
PANW,"May 4, 2017",2,A1
TWTR,"February 17, 2017",11|249,A1
NVS,"April 12, 2017",112,A1
IDCC,"January 13, 2016",125,A1
AMZN,"September 23, 2016",79,A1
GLW,"September 16, 2015",5,A1
INTU,"May 10, 2013",46,A1
ILMN,"July 17, 2015",9|11,A1
YHOO,"January 13, 2017",3|267,A1
MON,"June 10, 2013",102,A1
TWTR,"November 14, 2014",36,A1
QTM,"June 6, 2017",91|260,A1
AAPL,"July 11, 2016",4|287,A1
DAL,"April 26, 2013",44,A1
CLCT,"March 11, 2016",4,A1
AMD,"January 14, 2014",4,A1
INFN,"June 29, 2015",55,A1
F,"September 14, 2015",33,A1
BMY,"April 8, 2016",123|457,A1
DEPO,"March 24, 2016",185|49,A1
INTC,"January 8, 2016",2,A1
MSTR,"March 12, 2015",6,A1
LPL,"September 15, 2015",5,A1
TILE,"February 8, 2016",4|264,A1
JNJ,"July 8, 2015",75,A1
NTRA,"June 12, 2015",143|163,A1
TGT,"March 19, 2013",13,A1
ITW,"January 13, 2016",125,A1
GE,"July 9, 2015",141,A1
RPRX,"January 7, 2016",2,A1
INTC,"June 23, 2015",1,A1
NVTA,"June 12, 2015",143,A1
CTXS,"April 7, 2017",2,A1
IBM,"May 10, 2013",46,A1
FB,"November 13, 2015",11,A1
NVS,"April 4, 2017",386|22,A1
ADBE,"April 7, 2017",2,A1
BKS,"December 17, 2015",6,A1
INTC,"March 9, 2015",5,A1
GRPN,"February 26, 2014",50,A1
WTW,"November 9, 2015",5,A1
KODK,"December 21, 2016",5,A1
NVDA,"January 14, 2014",4,A1
LLY,"January 12, 2017",127,A1
RF,"September 25, 2014",49,A1
AMZN,"July 22, 2013",14,A1
PIR,"November 7, 2013",2,A1
TEX,"December 3, 2014",2,A1
TWTR,"August 30, 2013",51,A1
RCII,"April 25, 2016",334|21,A1
INTC,"April 25, 2016",21,A1
BKS,"April 25, 2016",334|21,A1
CL,"May 29, 2013",13,A1
NUAN,"February 22, 2016",587|74,A1
NFLX,"November 7, 2016",4,A1
CTXS,"April 11, 2013",7,A1
BSX,"June 26, 2013",82,A1
CPIX,"January 26, 2017",428|51,A1
NTIP,"July 11, 2016",3,A1
ATHN,"March 10, 2017",2,A1
HPQ,"February 9, 2016",6,A1
BMRN,"June 14, 2016",68|368,A1
BGCA,"May 10, 2013",46,A1
AAPL,"April 14, 2017",63,A1
TWX,"February 1, 2016",27,A1
AAPL,"November 9, 2015",5,A1
LLY,"January 13, 2016",125,A1
AMZN,"December 7, 2016",2,A1
RHT,"November 14, 2014",36,A1
AAPL,"April 25, 2016",21,A1
INTC,"August 22, 2014",42,A1
FIS,"October 13, 2016",8|349,A1
XRX,"July 11, 2014",10,A1
F,"February 18, 2015",1,A1
FLIR,"January 10, 2017",1|396,A1
ZNGA,"May 10, 2013",46,A1
NFLX,"February 26, 2014",50,A1
ITW,"July 8, 2015",75,A1
ADBE,"September 14, 2015",33,A1
TIME,"December 16, 2015",181,A1
HPQ,"December 2, 2015",47,A1
ABT,"March 20, 2013",-37,A1
AMD,"January 18, 2017",271|6,A1
FUN,"April 17, 2015",7,A1
ABT,"June 26, 2013",82,A1
SNPS,"October 17, 2016",31,A1
DGLY,"January 13, 2017",3,A1
HON,"February 12, 2014",156,A1
BDX,"May 9, 2016",5,A1
EW,"January 22, 2014",105,A1
AAPL,"May 4, 2016",2|432|386,A1
CSCO,"June 15, 2015",12,A1
HPQ,"August 9, 2016",4,A1
INTC,"December 28, 2016",343|23,A1
BBRY,"February 27, 2017",19|382,A1
EBAY,"May 23, 2017",29,A1
JNJ,"January 14, 2014",5,A1
AAPL,"July 7, 2014",27,A1
BCR,"January 13, 2015",158,A1
CME,"April 14, 2015",6,A1
MSI,"April 13, 2015",3,A1
ABBV,"August 21, 2014",77,A1
ADBE,"December 4, 2014",28,A1
HLIT,"March 1, 2016",145,A1
IPXL,"February 1, 2013",122,A1
MSFT,"January 18, 2017",5,A1
MSFT,"November 8, 2013",2,A1
GRPN,"February 17, 2017",11|249,A1
CAR,"February 26, 2014",50,A1
AMZN,"June 11, 2015",101,A1
COST,"January 20, 2016",77,A1
SNPS,"March 12, 2013",6,A1
JKHY,"October 13, 2015",6,A1
MSFT,"March 19, 2013",13,A1
AAPL,"July 14, 2014",97,A1
SLAB,"November 8, 2016",5,A1
MS,"January 27, 2014",54,A1
BBBY,"January 24, 2017",11,A1
SPLS,"February 8, 2016",3,A1
V,"August 13, 2014",5,A1
PFE,"February 6, 2014",94,A1
HPQ,"May 26, 2016",175|583,A1
AMZN,"April 14, 2015",7,A1
BWA,"June 10, 2014",5,A1
SQ,"October 16, 2015",11,A1
IBM,"March 7, 2017",53,A1
MSI,"December 5, 2014",56,A1
NWY,"April 25, 2016",334|21,A1
MSFT,"August 12, 2016",37,A1
TWTR,"May 12, 2017",37,A1
MSFT,"September 14, 2015",33,A1
MSFT,"May 9, 2016",5,A1
GWRE,"September 5, 2013",70,A1
AMZN,"January 10, 2014",66,A1
EA,"March 17, 2015",231|14,A1
NOK,"September 14, 2015",33,A1
SQ,"April 14, 2016",195|6,A1
DE,"May 26, 2016",217|231,A1
BKS,"May 13, 2013",5,A1
ODP,"March 19, 2013",13,A1
BKS,"December 30, 2014",81,A1
BAX,"May 9, 2016",5,A1
HSNI,"January 6, 2017",242,A1
HPQ,"November 12, 2015",59,A1
NTAP,"October 9, 2015",2,A1
DGLY,"February 10, 2015",4,A1
F,"February 8, 2016",4,A1
CSCO,"June 23, 2015",1,A1
NTGR,"December 28, 2016",23,A1
LLY,"July 9, 2015",141,A1
MSFT,"December 7, 2016",33,A1
ACTG,"September 12, 2016",496|40,A1
T,"March 19, 2015",106,A1
AAPL,"November 8, 2016",4,A1
HON,"October 11, 2016",370|6,A1
BBBY,"April 7, 2016",1,A1
INTC,"July 9, 2015",141,A1
EA,"April 6, 2017",3,A1
MT,"May 16, 2017",193,A1
WDC,"January 10, 2014",66,A1
CSCO,"March 6, 2015",2,A1
AAPL,"May 9, 2017",4,A1
LPL,"September 14, 2015",33,A1
BBBY,"December 16, 2015",181,A1
CAT,"July 8, 2015",75,A1
EBAY,"July 9, 2015",141,A1
LLNW,"October 9, 2015",2,A1
ATRS,"November 17, 2014",48,A1
PFE,"July 9, 2015",141,A1
TMUS,"September 23, 2016",378|16,A1
MSFT,"January 19, 2016",12,A1
NFLX,"September 14, 2015",33,A1
FB,"June 6, 2016",150,A1
LMT,"August 6, 2014",1,A1
KYO,"February 9, 2015",3,A1
GMED,"October 19, 2015",11,A1
USB,"August 7, 2015",2,A1
AMGN,"July 9, 2015",141,A1
CELG,"July 14, 2016",6,A1
NVDA,"March 15, 2017",6,A1
CSCO,"August 22, 2014",42,A1
WILN,"August 1, 2016",271,A1
ACOR,"March 18, 2016",7,A1
GEVO,"February 10, 2016",6,A1
INTC,"June 6, 2014",21,A1
BELFA,"December 16, 2015",22,A1
LKQ,"February 18, 2015",15,A1
YHOO,"June 23, 2015",1,A1
SYMC,"September 15, 2014",6,A1
JBLU,"April 26, 2013",44,A1
SFLY,"May 17, 2016",1|435,A1
HOG,"April 25, 2016",334,A1
AMZN,"June 23, 2015",1,A1
AMZN,"November 10, 2014",5,A1
COF,"July 6, 2015",61,A1
HPQ,"March 19, 2013",13,A1
CSCO,"January 21, 2015",75,A1
LEA,"December 20, 2016",8|279,A1
FNSR,"January 11, 2017",356|2,A1
PFE,"April 9, 2015",17,A1
ADSK,"March 15, 2017",6,A1
FB,"January 7, 2016",2|231,A1
MSFT,"May 22, 2015",74,A1
ITW,"July 9, 2015",141,A1
USB,"August 8, 2016",4,A1
CRDS,"June 6, 2017",91|260|385,A1
AMGN,"July 5, 2016",92,A1
IPXL,"September 7, 2012",2,A1
HPQ,"June 23, 2015",1,A1
RHT,"June 23, 2015",1,A1
RHT,"July 9, 2015",141,A1
WDC,"January 9, 2015",2,A1
NVS,"June 12, 2015",143,A1
CSCO,"August 29, 2013",146,A1
CSCO,"June 6, 2017",91|260,A1
HON,"March 14, 2016",6,A1
AMGN,"December 5, 2014",86,A1
CAMT,"February 3, 2016",2,A1
INTC,"July 7, 2014",27,A1
NTAP,"June 6, 2017",91|385,A1
OSTK,"May 15, 2013",5,A1
NOK,"January 10, 2014",66,A1
AMZN,"May 23, 2017",29,A1
COST,"March 19, 2013",13,A1
AMZN,"December 30, 2014",11|81,A1
FB,"July 9, 2015",141,A1
PHG,"December 11, 2014",9,A1
MU,"March 12, 2015",8,A1
JNJ,"July 9, 2015",141,A1
WMT,"April 16, 2013",334,A1
AAPL,"December 15, 2015",68|344|42,A1
JNPR,"October 6, 2016",2,A1
AAPL,"January 27, 2017",1,A1
SHPG,"October 13, 2016",10,A1
LPL,"June 23, 2014",12,A1
MON,"May 9, 2014",79,A1
ABBV,"April 8, 2015",1,A1
AAPL,"July 17, 2014",6,A1
TWTR,"February 26, 2014",50,A1
LH,"July 26, 2016",83,A1
AAPL,"May 11, 2017",66,A1
COF,"May 17, 2016",1|435,A1
IBM,"May 26, 2017",18,A1
HPQ,"August 10, 2015",5|210,A1
BIG,"January 17, 2014",7,A1
AXP,"February 12, 2013",6,A1
NVDA,"February 8, 2013",4,A1
YHOO,"June 20, 2014",197,A1
EBAY,"January 18, 2017",371|5,A1
HPQ,"March 14, 2017",4,A1
BDX,"July 7, 2014",59,A1
AMZN,"February 26, 2014",50,A1
SEAC,"October 10, 2013",65,A1
BSX,"February 12, 2013",6,A1
CTXS,"July 15, 2015",5,A1
NOK,"July 18, 2013",6,A1
NOK,"February 18, 2015",9,A1
SNA,"October 14, 2014",33,A1
BSX,"April 4, 2017",557|152,A1
WILN,"December 11, 2012",6,A1
IBM,"April 7, 2017",2,A1
IBM,"February 8, 2016",5,A1
LLNW,"February 1, 2016",27,A1
ADBE,"February 9, 2016",61,A1
HPQ,"July 7, 2014",27,A1
XLNX,"July 9, 2015",141,A1
ENR,"January 12, 2015",4,A1
AMTD,"October 11, 2016",7,A1
DE,"February 20, 2013",13,A1
CTXS,"March 19, 2013",6,A1
LLNW,"November 12, 2015",59,A1
GRMN,"August 8, 2016",33,A1
PFE,"July 8, 2015",75,A1
HPQ,"July 18, 2013",6,A1
NTAP,"August 9, 2016",4,A1
HPE,"August 9, 2016",4,A1
ALNY,"March 23, 2017",70,A1
AMZN,"March 19, 2013",13,A1
DAL,"June 24, 2014",14,A1
CGNX,"December 16, 2013",178,A1
COF,"September 4, 2015",122,A1
CALL,"April 6, 2017",2,A1
CAT,"July 9, 2015",141,A1
CELG,"June 17, 2015",68|414,A1
GE,"May 8, 2014",91,A1
MSFT,"November 30, 2016",510|498|29|532,A1
MU,"May 9, 2017",4,A1
SUPN,"June 18, 2012",3,A1
MOD,"June 10, 2014",5,A1
MDRX,"April 12, 2017",5,A1
FB,"March 28, 2016",5,A1
PFE,"January 13, 2016",5|125,A1
MSFT,"June 23, 2015",1,A1
COF,"March 7, 2017",91,A1
USB,"September 25, 2014",49,A1
FB,"May 10, 2013",46,A1
LLNW,"July 9, 2015",141,A1
RHT,"May 10, 2013",46,A1
FDS,"January 27, 2014",54,A1
SBUX,"January 5, 2015",63,A1
FB,"February 17, 2017",11|249,A1
PRGO,"August 15, 2014",129,A1
CME,"January 27, 2014",54,A1
FB,"February 25, 2016",72,A1
CBSH,"December 9, 2016",2,A1
BBRY,"January 10, 2017",1|207,A1
PKI,"July 31, 2015",85,A2
WMT,"September 11, 2013",127,A2
HLIT,"January 29, 2016",49,A2
BBBY,"January 25, 2013",443,A2
RHT,"November 21, 2016",102,A2
EA,"September 13, 2016",578|130,A2
HON,"February 5, 2013",62,A2
MSFT,"May 1, 2013",85,A2
JCOM,"March 29, 2017",19,A2
MU,"November 16, 2015",39,A2
CRM,"July 10, 2014",100,A2
JKHY,"May 12, 2016",97,A2
AAPL,"August 10, 2016",34,A2
CTXS,"October 14, 2014",97,A2
AVP,"February 12, 2015",125,A2
INTC,"September 30, 2016",11|452,A2
LLNW,"September 17, 2015",112,A2
WMT,"August 5, 2016",14,A2
TXN,"August 13, 2015",71|141,A2
BWA,"December 12, 2016",70,A2
NOK,"November 10, 2015",77,A2
POWI,"December 12, 2016",542|157,A2
CSCO,"September 23, 2016",80,A2
MSTR,"April 3, 2015",203,A2
NVS,"June 18, 2015",63|594,A2
HPQ,"February 7, 2017",15,A2
XLNX,"August 4, 2015",70,A2
ALGN,"November 10, 2015",77,A2
NOK,"December 4, 2014",122,A2
EBAY,"November 16, 2015",39,A2
SHLD,"July 30, 2015",65,A2
AKAM,"November 16, 2015",39|95,A2
HPQ,"August 4, 2015",70,A2
INTC,"November 16, 2015",39,A2
RHT,"December 16, 2015",14,A2
AAPL,"March 1, 2017",30,A2
IBM,"August 13, 2015",71|141,A2
AAPL,"September 30, 2015",55,A2
AAPL,"November 16, 2015",39,A2
TESO,"October 30, 2015",115,A2
XLNX,"May 1, 2013",85,A2
TG,"August 6, 2013",-37,A2
IBM,"October 2, 2013",209,A2
BSX,"May 13, 2013",6,A2
ABT,"April 4, 2013",2,A2
CSCO,"November 16, 2015",39,A2
LLNW,"April 27, 2015",180,A2
ABBV,"July 21, 2015",27,A2
NTGR,"December 4, 2014",122,A2
WMT,"July 30, 2015",65,A2
AAPL,"December 16, 2015",14,A2
ABT,"April 21, 2014",409,A2
DPS,"July 10, 2014",100,A2
SNPS,"March 16, 2017",72,A2
PHG,"July 28, 2016",294|471,A2
CSCO,"August 15, 2014",37,A2
MSFT,"November 17, 2016",134,A2
NTGR,"March 16, 2017",72,A2
INTC,"December 4, 2014",122,A2
DD,"November 16, 2012",3,A2
AKRX,"March 17, 2017",37,A2
SYMC,"September 30, 2016",11|452,A2
AAPL,"March 3, 2014",53,A2
NUVA,"November 9, 2016",63|36,A2
PINC,"December 19, 2014",39,A2
AAPL,"August 12, 2015",33,A2
SYMC,"November 16, 2015",39,A2
NTAP,"May 9, 2014",156,A2
TXN,"February 12, 2016",126,A2
GRPN,"March 1, 2016",364|368|85,A2
GE,"February 21, 2017",43,A2
FDC,"July 31, 2015",85,A2
JKHY,"October 13, 2016",8|349,A2
ORCL,"November 17, 2016",14,A2
ALLY,"February 21, 2017",43,A2
AAPL,"November 18, 2013",101,A2
XLNX,"February 12, 2016",126,A2
AAPL,"February 14, 2017",33,A2
SSNI,"February 29, 2016",111,A2
FB,"February 7, 2017",15,A2
HPQ,"December 4, 2014",122,A2
NKE,"February 11, 2016",126,A2
CENT,"February 29, 2016",73,A2
PRKR,"July 31, 2015",373|78,A2
AMZN,"February 9, 2015",66,A2
CSCO,"December 4, 2014",122,A2
RAD,"July 31, 2015",85,A2
INTC,"February 12, 2016",126,A2
PLT,"July 31, 2013",120,A2
CSCO,"June 16, 2015",133,A2
CSCO,"December 3, 2015",38,A2
CAMT,"November 18, 2013",130,A2
AAPL,"July 30, 2015",20,A2
MSFT,"May 9, 2014",156,A2
NOK,"December 3, 2015",38,A2
WILN,"January 8, 2016",599|157,A2
LLNW,"November 16, 2015",39|95,A2
MNTA,"November 10, 2015",57|187|112,A2
BAX,"July 2, 2013",5,A2
TDC,"December 19, 2014",39,A2
NOK,"September 11, 2015",1225|64,A2
ORCL,"October 2, 2013",209,A2
AAPL,"August 13, 2015",71|141,A2
MSFT,"May 12, 2016",97,A2
NUVA,"May 31, 2017",23,A2
BAC,"July 10, 2014",100,A2
LLNW,"May 1, 2013",85,A2
CAJ,"February 2, 2015",3,A2
ERIE,"March 7, 2017",35,A2
HPQ,"December 3, 2015",38,A2
INTC,"December 3, 2015",38,A2
ORCL,"August 18, 2016",98,A2
JNJ,"April 4, 2013",2,A2
AAPL,"October 11, 2012",52,A2
HPQ,"November 16, 2015",39,A2
AAPL,"September 10, 2014",92,A2
SUPN,"August 7, 2013",16,A2
ATVI,"September 13, 2016",130|578,A2
SHLD,"April 10, 2015",63,A2
AMTD,"August 30, 2013",114,A2
MYGN,"December 17, 2014",35,A2
ADI,"August 13, 2015",71|141,A2
RTEC,"November 4, 2013",437|87,A2
AVID,"January 29, 2016",49,A2
XLNX,"September 17, 2015",112,A2
ADBE,"August 18, 2016",98,A2
XLNX,"April 27, 2015",180,A2
LLNW,"February 7, 2017",15,A2
FDX,"July 10, 2014",100,A2
AAPL,"February 7, 2017",15,A2
RTEC,"October 21, 2015",14,A2
NUVA,"December 7, 2016",64,A2
IGT,"March 13, 2013",22,A2
FB,"December 16, 2015",14,A2
LLNW,"February 15, 2017",161,A2
WILN,"January 17, 2017",561|148,A2
CSCO,"September 16, 2014",139,A2
MSFT,"June 16, 2015",133|50|306,A2
AMPH,"November 10, 2015",57|187,A2
IBM,"March 27, 2017",20,A2
ENZ,"March 16, 2015",49,A2
BONT,"February 10, 2015",97,A2
CSCO,"August 18, 2016",98,A2
EBAY,"October 2, 2013",209,A2
MDCO,"April 6, 2017",262|34,A2
CBSH,"March 27, 2017",20|424,A2
ORCL,"April 3, 2015",203,A2
COST,"February 12, 2016",126,A2
SATS,"December 22, 2015",76,A2
IDCC,"February 12, 2016",126,A2
ODP,"July 31, 2015",85,A2
MSFT,"May 5, 2014",3,A2
MNTA,"June 18, 2015",63|594,A2
AAPL,"August 23, 2013",150,A2
INTU,"November 16, 2015",39,A2
SYK,"September 12, 2016",3,A2
NOK,"December 16, 2015",14,A2
TEX,"May 14, 2013",98,A2
MSFT,"December 16, 2015",14,A2
TNAV,"November 18, 2014",223,A2
SYMC,"February 2, 2016",116,A2
F,"August 12, 2015",33,A2
LYV,"November 29, 2016",235|438,A2
NVO,"June 18, 2013",131,A2
AAPL,"December 3, 2015",38,A2
EBAY,"November 21, 2016",102,A2
POWI,"March 26, 2013",749|14,A2
IPXL,"August 7, 2013",16,A2
NOK,"September 16, 2014",139,A2
CSCO,"October 2, 2013",209,A2
EBAY,"December 16, 2015",14,A2
TGT,"August 15, 2014",37,A2
FISV,"May 12, 2016",97,A2
USB,"February 21, 2017",43,A2
INTU,"May 12, 2016",97,A2
LLNW,"August 4, 2015",70,A2
NOK,"November 18, 2013",101,A2
HON,"September 11, 2015",1225|64,A2
SBUX,"November 29, 2016",235|438,A2
BDC,"November 5, 2015",57|38,A2
MMM,"August 6, 2013",-37,A2
FB,"September 9, 2016",128|471,A2
CBS,"February 10, 2015",97,A2
MYGN,"November 16, 2015",39,A2
ZNGA,"November 16, 2015",39,A2
MSFT,"October 3, 2013",17,A2
RHT,"November 18, 2013",101,A2
FB,"November 17, 2016",476|134,A2
CSCO,"May 1, 2013",85,A2
AAPL,"March 17, 2015",487|132,A2
FB,"November 16, 2015",39,A2
YHOO,"November 16, 2015",39,A2
CROX,"February 7, 2017",15,A2
CTAA,"February 12, 2015",72,A2
XLNX,"February 15, 2017",161,A2
AGYS,"November 29, 2016",235|438,A2
FTR,"July 31, 2015",85,A2
HSNI,"July 31, 2015",85,A2
MSFT,"August 4, 2015",70,A2
SYK,"June 27, 2014",119,A2
NTAP,"November 16, 2015",39,A2
NVDA,"February 24, 2015",13,A2
MRVL,"August 4, 2015",70,A2
BMRN,"April 25, 2017",46,A2
ALGN,"July 18, 2014",99,A2
SNPS,"April 24, 2017",19|354,A2
BBY,"September 6, 2013",28,A2
SHLD,"September 11, 2013",127,A2
NUVA,"June 3, 2016",92|72,A2
FISV,"October 13, 2016",259|6,A2
SYMC,"August 30, 2016",29,A2
MSTR,"December 19, 2014",39,A2
GILD,"April 22, 2014",105,A2
INTC,"August 13, 2015",71|141,A2
CTAA,"November 25, 2013",46,A2
NOK,"August 5, 2016",11,A2
TWTR,"September 9, 2016",128|471,A2
IMMR,"June 21, 2016",46,A2
CSCO,"April 27, 2015",180,A2
IBM,"June 16, 2015",133,A2
AAPL,"September 16, 2014",139,A2
CSCO,"December 28, 2015",98,A2
CTXS,"June 16, 2015",133,A2
LB,"February 12, 2016",126,A2
ORCL,"November 29, 2016",235|438,A2
AAPL,"July 22, 2016",106,A2
IDT,"May 20, 2013",38,A2
ST,"April 4, 2017",228|512|85,A2
AAPL,"November 29, 2016",543|124|438|235,A2
T,"July 31, 2015",85,A2
RTEC,"November 18, 2013",130,A2
ESS,"March 4, 2013",56,A2
ADBE,"June 16, 2015",133,A2
ADBE,"October 2, 2013",209,A2
MU,"August 19, 2016",71,A2
AMGN,"July 21, 2015",27,A2
DECK,"February 7, 2017",15,A2
AAPL,"January 8, 2016",599|157,A2
HPQ,"March 16, 2017",72,A2
NUVA,"February 7, 2017",15,A2
VAR,"March 16, 2017",72,A2
MSFT,"April 20, 2017",13|470,A2
LB,"April 27, 2015",180,A2
GEVO,"November 16, 2012",3,A2
YHOO,"September 10, 2014",92,A2
EBAY,"February 7, 2017",15,A2
NUVA,"August 9, 2016",19|34,A2
YHOO,"May 31, 2016",83|418,A2
HPQ,"February 2, 2015",3,A2
AAPL,"June 27, 2014",25|22,A3
SNPS,"February 10, 2016",99|510,A3
KMB,"July 10, 2014",100|2,A3
OSTK,"July 11, 2014",252|10|67,A3
AAPL,"February 17, 2017",11|8|9|249,A3
WILN,"August 1, 2014",22,A3
LLY,"February 28, 2017",113,A3
MSFT,"April 1, 2016",437|59|14,A3
F,"March 7, 2017",263|89,A3
MSFT,"December 4, 2014",122|28,A3
